"";"genes"
"Klhdc9";"Klhdc9"
"Nectin4";"Nectin4"
"Arhgap30";"Arhgap30"
"Usf1";"Usf1"
"Tstd1";"Tstd1"
"F11r";"F11r"
"B930036N10Rik";"B930036N10Rik"
"Alyref2";"Alyref2"
"Cd244a";"Cd244a"
"Ly9";"Ly9"
"Slamf7";"Slamf7"
"Gm37787";"Gm37787"
"A630035G10Rik";"A630035G10Rik"
"Cd48";"Cd48"
"Slamf1";"Slamf1"
"Cd84";"Cd84"
"Gm10521";"Gm10521"
"Gm37065";"Gm37065"
"Slamf6";"Slamf6"
"Vangl2";"Vangl2"
"Ncstn";"Ncstn"
"Copa";"Copa"
"Gm37756";"Gm37756"
"Pex19";"Pex19"
"Dcaf8";"Dcaf8"
"Pea15a";"Pea15a"
"Casq1";"Casq1"
"Gm17224";"Gm17224"
"Igsf8";"Igsf8"
"Atp1a2";"Atp1a2"
"Kcnj9";"Kcnj9"
"Kcnj10";"Kcnj10"
"Pigm";"Pigm"
"Slamf9";"Slamf9"
"Igsf9";"Igsf9"
"Tagln2";"Tagln2"
"Cfap45";"Cfap45"
"4933439K11Rik";"4933439K11Rik"
"Slamf8";"Slamf8"
"Dusp23";"Dusp23"
"Crp";"Crp"
"Aim2";"Aim2"
"Ifi206";"Ifi206"
"Ifi214";"Ifi214"
"Ifi213";"Ifi213"
"Ifi209";"Ifi209"
"Ifi207";"Ifi207"
"Ifi204";"Ifi204"
"Mndal";"Mndal"
"Ifi211";"Ifi211"
"Ifi203";"Ifi203"
"Ifi202b";"Ifi202b"
"Ifi205";"Ifi205"
"Fmn2";"Fmn2"
"Rgs7";"Rgs7"
"Fh1";"Fh1"
"Kmo";"Kmo"
"Opn3";"Opn3"
"Chml";"Chml"
"Wdr64";"Wdr64"
"Exo1";"Exo1"
"Pld5";"Pld5"
"Rbm8a2";"Rbm8a2"
"Cep170";"Cep170"
"Gm36992";"Gm36992"
"Sdccag8";"Sdccag8"
"Gm15423";"Gm15423"
"Akt3";"Akt3"
"Gm26801";"Gm26801"
"Zbtb18";"Zbtb18"
"Gm37306";"Gm37306"
"Adss";"Adss"
"Catspere1";"Catspere1"
"Catspere2";"Catspere2"
"Desi2";"Desi2"
"B230369F24Rik";"B230369F24Rik"
"Cox20";"Cox20"
"Hnrnpu";"Hnrnpu"
"Efcab2";"Efcab2"
"Smyd3";"Smyd3"
"Tfb2m";"Tfb2m"
"Cnst";"Cnst"
"Sccpdh";"Sccpdh"
"Kif28";"Kif28"
"Ahctf1";"Ahctf1"
"Cdc42bpa";"Cdc42bpa"
"Coq8a";"Coq8a"
"Psen2";"Psen2"
"Gm31728";"Gm31728"
"Itpkb";"Itpkb"
"Stum";"Stum"
"Gm37267";"Gm37267"
"Parp1";"Parp1"
"Lin9";"Lin9"
"Acbd3";"Acbd3"
"Gm37768";"Gm37768"
"Gm38293";"Gm38293"
"H3f3a";"H3f3a"
"H3f3aos";"H3f3aos"
"Sde2";"Sde2"
"Pycr2";"Pycr2"
"Lefty1";"Lefty1"
"Tmem63a";"Tmem63a"
"2210411M09Rik";"2210411M09Rik"
"Ephx1";"Ephx1"
"Nvl";"Nvl"
"Cnih4";"Cnih4"
"Wdr26";"Wdr26"
"A430110L20Rik";"A430110L20Rik"
"Dnah14";"Dnah14"
"Lbr";"Lbr"
"Enah";"Enah"
"Srp9";"Srp9"
"Degs1";"Degs1"
"Fbxo28";"Fbxo28"
"Trp53bp2";"Trp53bp2"
"Capn2";"Capn2"
"Gm37885";"Gm37885"
"Tlr5";"Tlr5"
"Gm38079";"Gm38079"
"Disp1";"Disp1"
"Brox";"Brox"
"Aida";"Aida"
"Mia3";"Mia3"
"Taf1a";"Taf1a"
"Gm37986";"Gm37986"
"Gm37214";"Gm37214"
"Dusp10";"Dusp10"
"1700056E22Rik";"1700056E22Rik"
"Gm37800";"Gm37800"
"Hlx";"Hlx"
"Gm34342";"Gm34342"
"Marc1";"Marc1"
"Marc2";"Marc2"
"Rab3gap2";"Rab3gap2"
"Gm34882";"Gm34882"
"Iars2";"Iars2"
"2010103J01Rik";"2010103J01Rik"
"Bpnt1";"Bpnt1"
"4930532G15Rik";"4930532G15Rik"
"Eprs";"Eprs"
"Lyplal1";"Lyplal1"
"Tgfb2";"Tgfb2"
"Gm29491";"Gm29491"
"Rrp15";"Rrp15"
"A430105J06Rik";"A430105J06Rik"
"Spata17";"Spata17"
"Gpatch2";"Gpatch2"
"Gm38155";"Gm38155"
"Esrrg";"Esrrg"
"Gm36388";"Gm36388"
"Ush2a";"Ush2a"
"Kctd3";"Kctd3"
"Kcnk2";"Kcnk2"
"Cenpf";"Cenpf"
"Ptpn14";"Ptpn14"
"Gm37422";"Gm37422"
"Smyd2";"Smyd2"
"Prox1";"Prox1"
"Gm28172";"Gm28172"
"Rps6kc1";"Rps6kc1"
"Angel2";"Angel2"
"Vash2";"Vash2"
"Flvcr1";"Flvcr1"
"Spata45";"Spata45"
"Tatdn3";"Tatdn3"
"Nsl1";"Nsl1"
"Batf3";"Batf3"
"Atf3";"Atf3"
"D730003I15Rik";"D730003I15Rik"
"Gm37168";"Gm37168"
"Nenf";"Nenf"
"Pacc1";"Pacc1"
"Ppp2r5a";"Ppp2r5a"
"Dtl";"Dtl"
"Ints7";"Ints7"
"Lpgat1";"Lpgat1"
"Nek2";"Nek2"
"1700034H15Rik";"1700034H15Rik"
"Slc30a1";"Slc30a1"
"Gm26670";"Gm26670"
"Traf5";"Traf5"
"Gm26879";"Gm26879"
"Rcor3";"Rcor3"
"Gm10516";"Gm10516"
"Kcnh1";"Kcnh1"
"Hhat";"Hhat"
"Syt14";"Syt14"
"Utp25";"Utp25"
"Irf6";"Irf6"
"A130010J15Rik";"A130010J15Rik"
"Traf3ip3";"Traf3ip3"
"Gm15872";"Gm15872"
"Lamb3";"Lamb3"
"Hsd11b1";"Hsd11b1"
"G0s2";"G0s2"
"4930503O07Rik";"4930503O07Rik"
"Plxna2";"Plxna2"
"Cd34";"Cd34"
"Gm16897";"Gm16897"
"A330023F24Rik";"A330023F24Rik"
"Gm32250";"Gm32250"
"Gm37027";"Gm37027"
"Cd46";"Cd46"
"Cr1l";"Cr1l"
"Cr2";"Cr2"
"Fam171a1";"Fam171a1"
"Nmt2";"Nmt2"
"Rpp38";"Rpp38"
"Meig1";"Meig1"
"Dclre1c";"Dclre1c"
"Suv39h2";"Suv39h2"
"Gm13184";"Gm13184"
"Hspa14";"Hspa14"
"Gm45902";"Gm45902"
"Cdnf";"Cdnf"
"Fam107b";"Fam107b"
"Frmd4a";"Frmd4a"
"Gm13187";"Gm13187"
"Gm36988";"Gm36988"
"Gm13175";"Gm13175"
"Gm13179";"Gm13179"
"Prpf18";"Prpf18"
"Bend7";"Bend7"
"Sephs1";"Sephs1"
"Phyh";"Phyh"
"Mcm10";"Mcm10"
"Optn";"Optn"
"4930551O13Rik";"4930551O13Rik"
"Camk1d";"Camk1d"
"Cdc123";"Cdc123"
"Nudt5";"Nudt5"
"Gm13199";"Gm13199"
"Sec61a2";"Sec61a2"
"Dhtkd1";"Dhtkd1"
"Upf2";"Upf2"
"Proser2";"Proser2"
"Echdc3";"Echdc3"
"A230108P19Rik";"A230108P19Rik"
"Usp6nl";"Usp6nl"
"Gm13388";"Gm13388"
"Gm13391";"Gm13391"
"Celf2";"Celf2"
"Taf3";"Taf3"
"Atp5c1";"Atp5c1"
"Kin";"Kin"
"Itih5";"Itih5"
"Sfmbt2";"Sfmbt2"
"Prkcq";"Prkcq"
"Gm38171";"Gm38171"
"8030442B05Rik";"8030442B05Rik"
"Gm13293";"Gm13293"
"Gm13291";"Gm13291"
"Pfkfb3";"Pfkfb3"
"Gm10851";"Gm10851"
"Rbm17";"Rbm17"
"Il2ra";"Il2ra"
"Il15ra";"Il15ra"
"Fbh1";"Fbh1"
"Ankrd16";"Ankrd16"
"Itga8";"Itga8"
"Mindy3";"Mindy3"
"Pter";"Pter"
"Rsu1";"Rsu1"
"Gm13270";"Gm13270"
"Cubn";"Cubn"
"Trdmt1";"Trdmt1"
"Vim";"Vim"
"St8sia6";"St8sia6"
"Gm37126";"Gm37126"
"Hacd1";"Hacd1"
"Stamos";"Stamos"
"Stam";"Stam"
"Tmem236";"Tmem236"
"Mrc1";"Mrc1"
"Slc39a12";"Slc39a12"
"Gm13266";"Gm13266"
"Cacnb2";"Cacnb2"
"Gm10848";"Gm10848"
"Gm13269";"Gm13269"
"Nsun6";"Nsun6"
"Arl5b";"Arl5b"
"Malrd1";"Malrd1"
"Plxdc2";"Plxdc2"
"Nebl";"Nebl"
"A930004D18Rik";"A930004D18Rik"
"Skida1";"Skida1"
"1810059C17Rik";"1810059C17Rik"
"Mllt10";"Mllt10"
"Dnajc1";"Dnajc1"
"Commd3";"Commd3"
"Bmi1";"Bmi1"
"Spag6";"Spag6"
"Gm20539";"Gm20539"
"Pip4k2a";"Pip4k2a"
"4930426L09Rik";"4930426L09Rik"
"Armc3";"Armc3"
"4930447M23Rik";"4930447M23Rik"
"Msrb2";"Msrb2"
"Otud1";"Otud1"
"Etl4";"Etl4"
"Gm13362";"Gm13362"
"Arhgap21";"Arhgap21"
"Gm13375";"Gm13375"
"Enkur";"Enkur"
"Thnsl1";"Thnsl1"
"Gpr158";"Gpr158"
"Myo3a";"Myo3a"
"1700092C17Rik";"1700092C17Rik"
"Apbb1ip";"Apbb1ip"
"Pdss1";"Pdss1"
"Abi1";"Abi1"
"Acbd5";"Acbd5"
"Mastl";"Mastl"
"Yme1l1";"Yme1l1"
"4931423N10Rik";"4931423N10Rik"
"Spopl";"Spopl"
"Hnmt";"Hnmt"
"Il1rn";"Il1rn"
"Psd4";"Psd4"
"Cacna1b";"Cacna1b"
"Ehmt1";"Ehmt1"
"Arrdc1";"Arrdc1"
"Zmynd19";"Zmynd19"
"Dph7";"Dph7"
"Mrpl41";"Mrpl41"
"Pnpla7";"Pnpla7"
"Nsmf";"Nsmf"
"Gm13387";"Gm13387"
"Nrarp";"Nrarp"
"Gm38287";"Gm38287"
"Tor4a";"Tor4a"
"Nelfb";"Nelfb"
"Tubb4b";"Tubb4b"
"Rnf208";"Rnf208"
"Ndor1";"Ndor1"
"Tmem203";"Tmem203"
"Tprn";"Tprn"
"Ssna1";"Ssna1"
"Anapc2";"Anapc2"
"Grin1";"Grin1"
"Man1b1";"Man1b1"
"Dpp7";"Dpp7"
"Uap1l1";"Uap1l1"
"Npdc1";"Npdc1"
"Fut7";"Fut7"
"Abca2";"Abca2"
"Paxx";"Paxx"
"Ptgds";"Ptgds"
"C8g";"C8g"
"Fbxw5";"Fbxw5"
"Traf2";"Traf2"
"Edf1";"Edf1"
"Mamdc4";"Mamdc4"
"Phpt1";"Phpt1"
"Ajm1";"Ajm1"
"Rabl6";"Rabl6"
"Fcnaos";"Fcnaos"
"Ccdc183";"Ccdc183"
"Tmem141";"Tmem141"
"Fcna";"Fcna"
"A230005M16Rik";"A230005M16Rik"
"Bmyc";"Bmyc"
"Camsap1";"Camsap1"
"Ubac1";"Ubac1"
"Nacc2";"Nacc2"
"Tmem250-ps";"Tmem250-ps"
"1810012K08Rik";"1810012K08Rik"
"Qsox2";"Qsox2"
"Gpsm1";"Gpsm1"
"Dnlz";"Dnlz"
"Card9";"Card9"
"Gm13562";"Gm13562"
"Snapc4";"Snapc4"
"Gm13563";"Gm13563"
"Entr1";"Entr1"
"Pmpca";"Pmpca"
"Inpp5e";"Inpp5e"
"Sec16a";"Sec16a"
"0610009E02Rik";"0610009E02Rik"
"Notch1";"Notch1"
"Egfl7";"Egfl7"
"Agpat2";"Agpat2"
"Dipk1b";"Dipk1b"
"Surf6";"Surf6"
"Med22";"Med22"
"Rpl7a";"Rpl7a"
"Surf1";"Surf1"
"Surf2";"Surf2"
"Surf4";"Surf4"
"Stkld1";"Stkld1"
"Rexo4";"Rexo4"
"Adamts13";"Adamts13"
"Cacfd1";"Cacfd1"
"Slc2a6";"Slc2a6"
"Mymk";"Mymk"
"Adamtsl2";"Adamtsl2"
"Sardh";"Sardh"
"Sardhos";"Sardhos"
"Vav2";"Vav2"
"AA645442";"AA645442"
"Brd3os";"Brd3os"
"Brd3";"Brd3"
"Wdr5";"Wdr5"
"Gm13421";"Gm13421"
"Rxra";"Rxra"
"Col5a1";"Col5a1"
"Olfm1";"Olfm1"
"Gm13373";"Gm13373"
"Ppp1r26";"Ppp1r26"
"1700007K13Rik";"1700007K13Rik"
"Mrps2";"Mrps2"
"Gbgt1";"Gbgt1"
"Gm10134";"Gm10134"
"Ralgds";"Ralgds"
"Gm13381";"Gm13381"
"Gtf3c5";"Gtf3c5"
"Tsc1";"Tsc1"
"Spaca9";"Spaca9"
"Ak8";"Ak8"
"Gtf3c4";"Gtf3c4"
"Ddx31";"Ddx31"
"Cfap77";"Cfap77"
"Ttf1";"Ttf1"
"Setx";"Setx"
"Ntng2";"Ntng2"
"6530402F18Rik";"6530402F18Rik"
"Med27";"Med27"
"Gm13402";"Gm13402"
"Rapgef1";"Rapgef1"
"Gm13547";"Gm13547"
"Trub2";"Trub2"
"Coq4";"Coq4"
"Slc27a4";"Slc27a4"
"Urm1";"Urm1"
"2600006K01Rik";"2600006K01Rik"
"Cercam";"Cercam"
"Odf2";"Odf2"
"Gle1";"Gle1"
"Sptan1";"Sptan1"
"Wdr34";"Wdr34"
"Set";"Set"
"Pkn3";"Pkn3"
"Zdhhc12";"Zdhhc12"
"Zer1";"Zer1"
"Tbc1d13";"Tbc1d13"
"Endog";"Endog"
"Spout1";"Spout1"
"Kyat1";"Kyat1"
"1700084E18Rik";"1700084E18Rik"
"Lrrc8a";"Lrrc8a"
"Phyhd1";"Phyhd1"
"Dolk";"Dolk"
"Nup188";"Nup188"
"Gm14471";"Gm14471"
"Sh3glb2";"Sh3glb2"
"Miga2";"Miga2"
"Dolpp1";"Dolpp1"
"Crat";"Crat"
"Gm16323";"Gm16323"
"Ptpa";"Ptpa"
"Ier5l";"Ier5l"
"Cstad";"Cstad"
"9330198N18Rik";"9330198N18Rik"
"Ntmt1";"Ntmt1"
"Asb6";"Asb6"
"Ptges";"Ptges"
"Tor1b";"Tor1b"
"Tor1a";"Tor1a"
"BC005624";"BC005624"
"Usp20";"Usp20"
"Fnbp1";"Fnbp1"
"D330023K18Rik";"D330023K18Rik"
"Gpr107";"Gpr107"
"Gm13405";"Gm13405"
"Ncs1";"Ncs1"
"Hmcn2";"Hmcn2"
"Ass1";"Ass1"
"Fubp3";"Fubp3"
"Exosc2";"Exosc2"
"Gm13427";"Gm13427"
"Abl1";"Abl1"
"Lamc3";"Lamc3"
"Nup214";"Nup214"
"Fam78a";"Fam78a"
"Gm16534";"Gm16534"
"Plpp7";"Plpp7"
"Prrc2b";"Prrc2b"
"Gm13610";"Gm13610"
"Pomt1";"Pomt1"
"Uck1";"Uck1"
"Swi5";"Swi5"
"Golga2";"Golga2"
"Dnm1";"Dnm1"
"Ciz1";"Ciz1"
"1110008P14Rik";"1110008P14Rik"
"Ptges2";"Ptges2"
"Slc25a25";"Slc25a25"
"Naif1";"Naif1"
"Fam102a";"Fam102a"
"Dpm2";"Dpm2"
"St6galnac4";"St6galnac4"
"St6galnac6";"St6galnac6"
"Ak1";"Ak1"
"Eng";"Eng"
"Fpgs";"Fpgs"
"Cdk9";"Cdk9"
"Sh2d3c";"Sh2d3c"
"6330409D20Rik";"6330409D20Rik"
"Ttc16";"Ttc16"
"Tor2a";"Tor2a"
"Ptrh1";"Ptrh1"
"Cfap157";"Cfap157"
"Stxbp1";"Stxbp1"
"Gm13524";"Gm13524"
"Gm13523";"Gm13523"
"Fam129b";"Fam129b"
"Lrsam1";"Lrsam1"
"Rpl12";"Rpl12"
"Slc2a8";"Slc2a8"
"Garnl3";"Garnl3"
"Ralgps1";"Ralgps1"
"Gm13528";"Gm13528"
"Angptl2";"Angptl2"
"Zbtb34";"Zbtb34"
"Zbtb43";"Zbtb43"
"Lmx1b";"Lmx1b"
"Mvb12b";"Mvb12b"
"Nron";"Nron"
"Gm13404";"Gm13404"
"Pbx3";"Pbx3"
"C79798";"C79798"
"Mapkap1";"Mapkap1"
"Gapvd1";"Gapvd1"
"Hspa5";"Hspa5"
"Rabepk";"Rabepk"
"Fbxw2";"Fbxw2"
"Psmd5";"Psmd5"
"Cutal";"Cutal"
"Phf19";"Phf19"
"Traf1";"Traf1"
"AI182371";"AI182371"
"Cntrl";"Cntrl"
"Rab14";"Rab14"
"Gsn";"Gsn"
"Stom";"Stom"
"Ggta1";"Ggta1"
"Dab2ip";"Dab2ip"
"Ttll11";"Ttll11"
"Ndufa8";"Ndufa8"
"Morn5";"Morn5"
"Rbm18";"Rbm18"
"Mrrf";"Mrrf"
"Gm13431";"Gm13431"
"Ptgs1";"Ptgs1"
"Pdcl";"Pdcl"
"Rc3h2";"Rc3h2"
"Zbtb6";"Zbtb6"
"Zbtb26";"Zbtb26"
"Rabgap1";"Rabgap1"
"Strbp";"Strbp"
"Gpr21";"Gpr21"
"Dennd1a";"Dennd1a"
"Gm13556";"Gm13556"
"Nek6";"Nek6"
"Psmb7";"Psmb7"
"Nr6a1";"Nr6a1"
"Nr6a1os";"Nr6a1os"
"Olfml2a";"Olfml2a"
"Gm13496";"Gm13496"
"Wdr38";"Wdr38"
"Rpl35";"Rpl35"
"Arpc5l";"Arpc5l"
"Golga1";"Golga1"
"Scai";"Scai"
"Ppp6c";"Ppp6c"
"Lrp1b";"Lrp1b"
"Kynu";"Kynu"
"Arhgap15";"Arhgap15"
"Arhgap15os";"Arhgap15os"
"Gtdc1";"Gtdc1"
"Zeb2";"Zeb2"
"Zeb2os";"Zeb2os"
"Gm13479";"Gm13479"
"Gm13470";"Gm13470"
"Gm13481";"Gm13481"
"Acvr2a";"Acvr2a"
"Orc4";"Orc4"
"Mbd5";"Mbd5"
"Epc2";"Epc2"
"Kif5c";"Kif5c"
"Lypd6b";"Lypd6b"
"Lypd6";"Lypd6"
"Mmadhc";"Mmadhc"
"Gm13483";"Gm13483"
"Rnd3";"Rnd3"
"Rbm43";"Rbm43"
"Nmi";"Nmi"
"Tnfaip6";"Tnfaip6"
"Rif1";"Rif1"
"Neb";"Neb"
"Gm13522";"Gm13522"
"Arl5a";"Arl5a"
"A430018G15Rik";"A430018G15Rik"
"Cacnb4";"Cacnb4"
"Stam2";"Stam2"
"Fmnl2";"Fmnl2"
"Prpf40a";"Prpf40a"
"Arl6ip6";"Arl6ip6"
"Galnt13";"Galnt13"
"Nr4a2";"Nr4a2"
"BB557941";"BB557941"
"A930012O16Rik";"A930012O16Rik"
"Gpd2";"Gpd2"
"Cytip";"Cytip"
"Acvr1c";"Acvr1c"
"Acvr1";"Acvr1"
"Upp2";"Upp2"
"Ccdc148";"Ccdc148"
"Pkp4";"Pkp4"
"Dapl1";"Dapl1"
"Tanc1";"Tanc1"
"Wdsub1";"Wdsub1"
"Baz2b";"Baz2b"
"Gm13572";"Gm13572"
"Gm13620";"Gm13620"
"March7";"March7"
"Cd302";"Cd302"
"Ly75";"Ly75"
"Pla2r1";"Pla2r1"
"Rbms1";"Rbms1"
"Tank";"Tank"
"Psmd14";"Psmd14"
"Slc4a10";"Slc4a10"
"Dpp4";"Dpp4"
"Fap";"Fap"
"Ifih1";"Ifih1"
"Gca";"Gca"
"Kcnh7";"Kcnh7"
"Fign";"Fign"
"Cobll1";"Cobll1"
"Scn2a";"Scn2a"
"Galnt3";"Galnt3"
"Gm28638";"Gm28638"
"Ttc21b";"Ttc21b"
"Scn9a";"Scn9a"
"Scn7a";"Scn7a"
"Xirp2";"Xirp2"
"B3galt1";"B3galt1"
"Stk39";"Stk39"
"4932414N04Rik";"4932414N04Rik"
"Cers6";"Cers6"
"Nostrin";"Nostrin"
"Spc25";"Spc25"
"Bbs5";"Bbs5"
"Klhl41";"Klhl41"
"Fastkd1";"Fastkd1"
"Ppig";"Ppig"
"Ccdc173";"Ccdc173"
"Phospho2";"Phospho2"
"Klhl23";"Klhl23"
"Ssb";"Ssb"
"Mettl5";"Mettl5"
"Gm13625";"Gm13625"
"Mettl5os";"Mettl5os"
"Ubr3";"Ubr3"
"Myo3b";"Myo3b"
"Gorasp2";"Gorasp2"
"Tlk1";"Tlk1"
"Mettl8";"Mettl8"
"Dcaf17";"Dcaf17"
"Cybrd1";"Cybrd1"
"Dync1i2";"Dync1i2"
"Slc25a12";"Slc25a12"
"Hat1";"Hat1"
"Metap1d";"Metap1d"
"Dlx1as";"Dlx1as"
"Itga6";"Itga6"
"Pdk1";"Pdk1"
"Rapgef4";"Rapgef4"
"Map3k20";"Map3k20"
"Cdca7";"Cdca7"
"Sp3";"Sp3"
"Gm11084";"Gm11084"
"Sp3os";"Sp3os"
"Ola1";"Ola1"
"Cir1";"Cir1"
"Scrn3";"Scrn3"
"Gpr155";"Gpr155"
"Gm13703";"Gm13703"
"Gm13709";"Gm13709"
"D230022J07Rik";"D230022J07Rik"
"Gm13707";"Gm13707"
"Wipf1";"Wipf1"
"Gm13708";"Gm13708"
"Chrna1os";"Chrna1os"
"Chn1os3";"Chn1os3"
"Chn1";"Chn1"
"Atf2";"Atf2"
"Atp5g3";"Atp5g3"
"Lnpk";"Lnpk"
"Hoxd4";"Hoxd4"
"Mtx2";"Mtx2"
"2600014E21Rik";"2600014E21Rik"
"Hnrnpa3";"Hnrnpa3"
"Nfe2l2";"Nfe2l2"
"E030042O20Rik";"E030042O20Rik"
"Gm13657";"Gm13657"
"Agps";"Agps"
"Ttc30b";"Ttc30b"
"Ttc30a2";"Ttc30a2"
"Ttc30a1";"Ttc30a1"
"Pde11a";"Pde11a"
"Rbm45";"Rbm45"
"Osbpl6";"Osbpl6"
"Prkra";"Prkra"
"Pjvk";"Pjvk"
"Fkbp7";"Fkbp7"
"Plekha3";"Plekha3"
"Ttn";"Ttn"
"Gm13938";"Gm13938"
"Ccdc141";"Ccdc141"
"Sestd1";"Sestd1"
"Zfp385b";"Zfp385b"
"Cwc22";"Cwc22"
"4930440I19Rik";"4930440I19Rik"
"Ube2e3";"Ube2e3"
"Itga4";"Itga4"
"Cerkl";"Cerkl"
"Itprid2";"Itprid2"
"Ppp1r1c";"Ppp1r1c"
"Pde1a";"Pde1a"
"Dnajc10";"Dnajc10"
"Nckap1";"Nckap1"
"Dusp19";"Dusp19"
"Nup35";"Nup35"
"Zc3h15";"Zc3h15"
"Itgav";"Itgav"
"Gm13684";"Gm13684"
"Fam171b";"Fam171b"
"Calcrl";"Calcrl"
"Tfpi";"Tfpi"
"Gm13710";"Gm13710"
"Ctnnd1";"Ctnnd1"
"Selenoh";"Selenoh"
"Tmx2";"Tmx2"
"Med19";"Med19"
"Zdhhc5";"Zdhhc5"
"Clp1";"Clp1"
"Ube2l6";"Ube2l6"
"Timm10";"Timm10"
"Slc43a1";"Slc43a1"
"Slc43a3";"Slc43a3"
"P2rx3";"P2rx3"
"Ssrp1";"Ssrp1"
"Tnks1bp1";"Tnks1bp1"
"4930443O20Rik";"4930443O20Rik"
"Aplnr";"Aplnr"
"Gm13713";"Gm13713"
"Lrrc55";"Lrrc55"
"Olfr1029";"Olfr1029"
"Olfr1030";"Olfr1030"
"Olfr1033";"Olfr1033"
"Olfr1034";"Olfr1034"
"Olfr259";"Olfr259"
"Olfr1122";"Olfr1122"
"Olfr1124";"Olfr1124"
"Pramel7";"Pramel7"
"Olfr1238";"Olfr1238"
"Ptprj";"Ptprj"
"4933423P22Rik";"4933423P22Rik"
"Nup160";"Nup160"
"Fnbp4";"Fnbp4"
"Agbl2";"Agbl2"
"Mtch2";"Mtch2"
"C1qtnf4";"C1qtnf4"
"Ndufs3";"Ndufs3"
"Kbtbd4";"Kbtbd4"
"Ptpmt1";"Ptpmt1"
"Celf1";"Celf1"
"Rapsn";"Rapsn"
"Gm13778";"Gm13778"
"Psmc3";"Psmc3"
"Slc39a13";"Slc39a13"
"Spi1";"Spi1"
"Mybpc3";"Mybpc3"
"Madd";"Madd"
"Nr1h3";"Nr1h3"
"Gm13783";"Gm13783"
"Acp2";"Acp2"
"Ddb2";"Ddb2"
"Pacsin3";"Pacsin3"
"Arfgap2";"Arfgap2"
"1110051M20Rik";"1110051M20Rik"
"Lrp4";"Lrp4"
"Ckap5";"Ckap5"
"F2";"F2"
"Zfp408";"Zfp408"
"Arhgap1";"Arhgap1"
"Atg13";"Atg13"
"Harbi1";"Harbi1"
"Ambra1";"Ambra1"
"Mdk";"Mdk"
"Dgkz";"Dgkz"
"Gm9821";"Gm9821"
"Creb3l1";"Creb3l1"
"Gm13780";"Gm13780"
"Phf21a";"Phf21a"
"Large2";"Large2"
"Pex16";"Pex16"
"1700029I15Rik";"1700029I15Rik"
"Mapk8ip1";"Mapk8ip1"
"Cry2";"Cry2"
"D930015M05Rik";"D930015M05Rik"
"Slc35c1";"Slc35c1"
"Gm13814";"Gm13814"
"Gm13817";"Gm13817"
"Chst1";"Chst1"
"Prdm11";"Prdm11"
"4631405J19Rik";"4631405J19Rik"
"Trp53i11";"Trp53i11"
"Tspan18";"Tspan18"
"Gm13807";"Gm13807"
"Cd82";"Cd82"
"Gm10804";"Gm10804"
"Ext2";"Ext2"
"Accs";"Accs"
"Gm13889";"Gm13889"
"Alkbh3os1";"Alkbh3os1"
"Alkbh3";"Alkbh3"
"Hsd17b12";"Hsd17b12"
"Mir670hg";"Mir670hg"
"Ttc17";"Ttc17"
"2810002D19Rik";"2810002D19Rik"
"Api5";"Api5"
"Lrrc4c";"Lrrc4c"
"Gm10801";"Gm10801"
"Gm10800";"Gm10800"
"B230118H07Rik";"B230118H07Rik"
"Rag2";"Rag2"
"Traf6";"Traf6"
"Prr5l";"Prr5l"
"Commd9";"Commd9"
"Ldlrad3";"Ldlrad3"
"Gm13919";"Gm13919"
"Gm13920";"Gm13920"
"Trim44";"Trim44"
"Fjx1";"Fjx1"
"Slc1a2";"Slc1a2"
"Cd44";"Cd44"
"Pdhx";"Pdhx"
"Apip";"Apip"
"Ehf";"Ehf"
"Cat";"Cat"
"Abtb2";"Abtb2"
"Nat10";"Nat10"
"Caprin1";"Caprin1"
"Lmo2";"Lmo2"
"4931422A03Rik";"4931422A03Rik"
"Fbxo3";"Fbxo3"
"Cd59b";"Cd59b"
"Cd59a";"Cd59a"
"Hipk3";"Hipk3"
"Cstf3";"Cstf3"
"Tcp11l1";"Tcp11l1"
"Depdc7";"Depdc7"
"Qser1";"Qser1"
"Prrg4";"Prrg4"
"Ccdc73";"Ccdc73"
"Eif3m";"Eif3m"
"Rcn1";"Rcn1"
"Pax6os1";"Pax6os1"
"Elp4";"Elp4"
"Immp1l";"Immp1l"
"Dnajc24";"Dnajc24"
"Mpped2";"Mpped2"
"Arl14ep";"Arl14ep"
"Gm13912";"Gm13912"
"Mettl15";"Mettl15"
"Kif18a";"Kif18a"
"Lin7c";"Lin7c"
"Platr8";"Platr8"
"Lgr4";"Lgr4"
"Ccdc34";"Ccdc34"
"Ccdc34os";"Ccdc34os"
"Gm13936";"Gm13936"
"Ano3";"Ano3"
"4930430A15Rik";"4930430A15Rik"
"Lpcat4";"Lpcat4"
"Nop10";"Nop10"
"Slc12a6";"Slc12a6"
"Emc4";"Emc4"
"Katnbl1";"Katnbl1"
"Emc7";"Emc7"
"Aven";"Aven"
"Ryr3";"Ryr3"
"Fmn1";"Fmn1"
"Gm13963";"Gm13963"
"Gm13964";"Gm13964"
"4930533B01Rik";"4930533B01Rik"
"Scg5";"Scg5"
"Arhgap11a";"Arhgap11a"
"Aqr";"Aqr"
"Zfp770";"Zfp770"
"Dph6";"Dph6"
"Gm13972";"Gm13972"
"Gm28494";"Gm28494"
"Gm13977";"Gm13977"
"BC052040";"BC052040"
"Meis2";"Meis2"
"D330050G23Rik";"D330050G23Rik"
"Gm29340";"Gm29340"
