"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"Ankfy1";3742,24452425629;0,104328889641927;0,0632243779195336;0,00499062320627802;0,344068503297249
"Cplane1";744,328525144327;0,147666623291627;0,115160088099371;0,00501495398609139;0,344068503297249
"Gm15371";30,8348904328808;0,00914103995718683;0,0333173802232601;0,00523574906407941;0,346107684204537
"Zeb2";7868,83301656283;0,17816584004158;0,163577097842469;0,00518403496631315;0,346107684204537
"Scn1b";1022,23394889965;-0,210801249614692;0,277758581628102;0,00522609114172685;0,346107684204537
"Mindy4";90,9972501951292;0,270661674232154;0,422445021593247;0,00528932329681722;0,347828103883407
"Snhg15";303,682995765186;0,203924581690119;0,222995598988092;0,00533874669904771;0,349259149337702
"Chp2";82,7079744893512;0,0119097872178658;0,0346377239543473;0,00547684420339485;0,356446571711667
"Il1b";5301,71314985442;0,00915426638832047;0,0333236131998631;0,00560668689154695;0,361173615778938
"Clpp";247,146925025018;-0,178324420415258;0,203465794188131;0,00558946433537668;0,361173615778938
"Ifitm1";32,7149352895514;-0,00448168343249079;0,0319074034388319;0,00594426161202033;0,380975873671922
"Pole";87,6814223895423;0,0144377268338567;0,0361623823621047;0,00607047597925735;0,385154923186449
"Mmp11";34,7842867237101;-0,00885271770465528;0,033194338717989;0,00605237283061118;0,385154923186449
"Atp8a1";6925,2400383985;0,134366511491926;0,110075246207596;0,00616027996455484;0,386422642782224
"Nsd2";1280,12254681289;0,147874541100086;0,137929086728728;0,0061822725995572;0,386422642782224
"Ltbp3";244,781070502026;-0,0172242816899613;0,0382757391786143;0,00617021592303509;0,386422642782224
"Hectd4";2365,04128770135;0,172121043546233;0,2219250058629;0,0064338993241513;0,400169521511006
"Kdm6b";1762,56747546572;0,0195230573928514;0,0403169784394393;0,00651069056501215;0,402960681734527
"Stard9";6829,72533399948;0,165010708136878;0,166317610922065;0,00671262791352006;0,404269137219351
"Trim32";374,104418693097;-0,147674695579138;0,217581636399037;0,00665865437496407;0,404269137219351
"Oas2";241,089416897807;0,0174588351856746;0,0384374285177711;0,00667118369847192;0,404269137219351
"Ccdc8";45,843830199973;-0,00925273823764704;0,0333519202958905;0,00662862504551743;0,404269137219351
"Rab4a";87,8651053434609;-0,0142739714141246;0,0360477681818431;0,00669149761312865;0,404269137219351
"Rsad2";162,851382588329;0,0141566021329342;0,0359650086898259;0,00672394414827052;0,404269137219351
"Slc52a2";480,683673557653;-0,0263284349285318;0,0487630450308563;0,00678076873491887;0,405753488374814
"Mettl3";588,651340656904;-0,132429675324003;0,132082694236042;0,00683402288599695;0,406109222167717
"Tamalin";374,67453362852;0,0158020073840576;0,0371052316618568;0,00685104263596735;0,406109222167717
"Slamf7";150,430717121297;0,0101498724608894;0,0337382389155973;0,00704655911379321;0,41299180755299
"Bltp1";3057,16819814671;0,170928649845721;0,239845780472999;0,00708216039517341;0,41299180755299
"Gm24407";164,755110801892;-0,00876089463876922;0,0331521535348336;0,00713069967104007;0,41299180755299
"Pcdhga7";231,293808650289;0,0184699001561503;0,0393343598998562;0,0070264845841068;0,41299180755299
"Pcdhga8";256,956298799378;0,0164836511346581;0,0376400674819427;0,0071244725976394;0,41299180755299
"Lrrk1";3348,54981876748;0,115683440972996;0,100990553666586;0,00728297154429179;0,41988492565401
"Ralgapa2";927,349095262611;0,0298989813141099;0,0544645807996875;0,00736299130502005;0,421014024166939
"C130050O18Rik";244,31860428475;0,0214072264900446;0,0422501246303285;0,00736924594811448;0,421014024166939
"Ms4a7";217,216114708941;0,0127768604161982;0,0350852042018678;0,00751421244018647;0,427362370584659
"Bptf";3578,60243813852;0,13628290494513;0,193596930732136;0,00764843510774018;0,431112239599676
"Myof";138,550244968222;0,0135799616012382;0,0355784651198998;0,00762492457957969;0,431112239599676
"Lzts3";224,42274040353;-0,0265877095506491;0,0488054214060599;0,00768949437418774;0,431500248748864
"Rabggtb";499,340542320125;-0,120910827314285;0,147749912909464;0,00794765188479406;0,440581643976282
"Gm31593";131,798451687014;-0,0212378726698852;0,0420319449023517;0,00798959989378185;0,440581643976282
"Neil3";21,8036259900233;0,00835886277913329;0,032979575846774;0,00799090737134235;0,440581643976282
"Ndfip1";2316,75099475774;-0,10777359227353;0,101479464663396;0,00795220798118482;0,440581643976282
"Coq10b";512,550930913749;0,117555024714336;0,349357231734831;0,00816351851425513;0,447583220147186
"Ier2";2399,33486250296;0,0267480356117795;0,0490756053630997;0,00818879485616981;0,447583220147186
"Atxn2";1670,92342770668;0,123024461413195;0,155163297903806;0,00827171769308573;0,450166843072847
"Mettl21a";261,613837323274;-0,0358057593599098;0,0671682703177118;0,00835141544535676;0,452553525378002
